What is the preferred command to synchronise files and directories and how does it operate?	"The rsync command keeps directories in sync by tracking changes to files, thus allowing existing content to be updated, rather than being re-written. The general structure is `rsync -options source destination`. Common options include -a -v, -z, and --update (archive, verbose, compress on transfer, only copy if source is newer), or --delete (delete files on destination that aren't present in source), and --dry-run (display the changes without actually making the change). Note that rsync is ""trailing slash sensitive"". A trailing / on a source means ""copy the contents of this directory"". Without a trailing slash it means ""copy the directory"". "	
What is the command to create a directory in Linux and what are some common options?	The command `mkdir dir1` will create a directory. Multiple directories can be created simultaneously with space delimiters (e.g., mkdir dir1 dir2 dir3) or a path of directories (e.g., mkdir -p dir1/dir2/dir3).	
What is the command to move a file or directory?	The mv (move) command will move (and rename) a file. There are options for -f (force), -i (interactive), and -n (no clobber). If more than one of these is selected only the last one is applied.	
How can the difference within two files be determined?	The diff command compares two files line-by-line (diff file1 file2). The sdiff provides a side-by-side view of file differences. The comm command compares files line-by-line and outputs columns where lines are unique to file1, unique to file2, and common to both. There is also a diff3 command that compares three files line-by-line!	
Why isn’t the `locate` command often available on HPC systems? What should be used instead?	The locate command is resource-intensive on a large system with many users. The find command is an alternative with many options for more restrictive search criteria.	
What are the globbing examples for all characters, single characters, and ranges?	The metacharacter * stands for all characters, the ? Stands for a single character, and a range is bracketed with a hyphen for scope e.g., [0-4]. An example is find . -name *.log	
What is the command for searching for a string within a file? What command would indicate a case insensitive search in all files in a directory?	The command is grep; a global search for regular expression and print. A case insensitive search in all files would be grep -i RegEx DIRNAME/*	
How did the grep command come about? What is the lesson from this?	The grep command came about from taking functionality from the ed line editor. Is an example of code re-use, which is fundamental to efficient software development.	
Why would one encapsulate a string in a command like grep with quotation marks?	The use of single quotes means the string will be interpreted literally, and the command will not invoke any variables contained in the string.	
What is the command for removing a directory? Why might it fail?	The command rmdir removes a directory. By default, it will fail if the directory is not empty.	
What are some dangers of combining wildcards with the rm command?	With the rm command, a wildcard removes everything associated with the option. e.g., rm *.bak will remove all files with the .bak suffix; a typo can cause significant problems. e.g., rm * .bak will remove all files in the directory.	
What is the command to remove a file? Can it be used to remove a directory?	The rm command removes a file, rm FILENAME. It can remove directories with the -r (recusrive) option, which will also remove any files in the directory.	
What does the rm -rf command do?	The rm -rf command removes the specified directory, all subdirectories, and all files. With the -f option it does so without any confirmation. Use with care!	
Can one recover files from the command-line that have been removed?	In most cases, no, unless there is a backup. It is possible to scan a disk looking for file content as rm removes the metadata of a file, not the content. This is very time-consuming and will not be done on an HPC system.	
